,Company Name,Symbol,Exchange,Currency,Country,Sector,Industry,Website,Full-Time Employees,Insider Ownership (%),Institutional Ownership (%),Market Cap ($B),Enterprise Value ($B),Shares Outstanding (B),Float Shares (B),Book Value/Share ($),EV/EBITDA,EV/Revenue,Current Price ($),Open ($),Previous Close ($),Day High ($),Day Low ($),52-Week High ($),52-Week Low ($),50-Day MA ($),200-Day MA ($),Volume,Avg Volume,EPS (TTM),EPS (Forward),PE Ratio (Trailing),PE Ratio (Forward),PEG Ratio,Profit Margin (%),Operating Margin (%),ROA (%),ROE (%),Operating CF ($B),Free CF ($B),CapEx ($B),Total Debt ($B),Debt to Equity,Quick Ratio,Current Ratio,Dividend Rate ($),Dividend Yield (%),Payout Ratio,Ex-Dividend Date,Revenue Growth YoY,Earnings Growth YoY,Earnings Date,Last Split Date,Last Split Factor
0,Apple Inc.,AAPL,NMS,USD,United States,Technology,Consumer Electronics,https://www.apple.com,164000,2.08,62.9,3003.29,3052.98,14.936,14.911,4.47,21.98,7.62,201.08,201.9,201.0,203.22,200.22,260.1,169.21,202.62,223.33,70534466,62515124,6.41,8.31,31.37,24.2,N/A,24.3%,31.03%,23.81%,138.01%,109.56,97.25,N/A,98.19,146.99,0.68,0.82,1.04,52.0,15.58%,1747008000,5.1%,7.8%,N/A,1598832000,4:1
1,N/A,ABMD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,Abbott Laboratories,ABT,NYQ,USD,United States,Healthcare,Medical Devices,https://www.abbott.com,114000,0.54,80.57,233.8,240.5,1.74,1.73,28.05,21.82,5.68,134.38,133.29,133.67,134.91,132.88,141.23,99.71,132.77,123.99,9500865,6830103,7.7,5.16,17.45,26.04,N/A,31.89%,18.09%,6.38%,30.65%,8.95,6.03,N/A,13.29,27.09,1.09,1.78,2.36,176.0,29.09%,1752537600,4.0%,8.6%,N/A,1357084800,10000:4798
3,ACADIA Pharmaceuticals Inc.,ACAD,NMS,USD,United States,Healthcare,Biotechnology,https://www.acadia.com,653,0.68,105.59,3.7,3.08,0.167,0.115,4.58,30.26,3.09,22.12,22.18,22.21,22.56,21.72,25.23,13.4,19.28,17.47,2552256,2204648,1.37,0.82,16.15,26.98,N/A,22.97%,7.9%,5.56%,37.24%,0.15,0.02,N/A,0.06,7.32,2.63,2.88,N/A,N/A,N/A,N/A,18.7%,10.0%,N/A,N/A,N/A
4,"Axcelis Technologies, Inc.",ACLS,NMS,USD,United States,Technology,Semiconductor Equipment & Materials,https://www.axcelis.com,1524,1.6,103.34,2.24,1.72,0.032,0.032,31.97,8.94,1.8,69.69,71.0,70.92,71.38,68.33,158.61,40.4,59.12,70.53,688189,684093,5.46,5.41,12.76,12.88,N/A,18.58%,15.14%,8.66%,18.45%,0.14,0.11,N/A,0.07,7.05,3.75,5.56,N/A,N/A,N/A,N/A,-23.7%,-43.9%,N/A,1467331200,1:4
5,Adobe Inc.,ADBE,NMS,USD,United States,Technology,Software - Application,https://www.adobe.com,30709,0.18,86.58,163.67,164.54,0.424,0.423,26.81,18.52,7.28,385.83,385.16,384.95,390.31,384.4,587.75,332.01,391.37,444.56,5033019,3822675,15.63,20.55,24.69,18.78,N/A,30.39%,35.91%,17.85%,52.25%,9.61,8.32,N/A,6.58,57.49,0.82,0.99,N/A,N/A,N/A,1111622400,10.6%,12.9%,N/A,1116892800,2:1
6,"Autodesk, Inc.",ADSK,NMS,USD,United States,Technology,Software - Application,https://www.autodesk.com,15300,0.24,94.28,65.28,65.8,0.214,0.213,12.23,44.19,10.37,305.13,307.47,304.93,309.84,304.9,326.62,223.03,289.15,286.27,1702939,1519095,4.67,9.18,65.34,33.24,N/A,15.95%,21.0%,8.84%,42.36%,1.68,2.22,N/A,2.54,97.21,0.52,0.65,N/A,N/A,N/A,1111449600,15.2%,-39.7%,N/A,1103587200,2:1
7,"Affirm Holdings, Inc.",AFRM,NMS,USD,United States,Technology,Software - Infrastructure,https://www.affirm.com,2006,4.67,80.53,21.96,27.95,0.282,0.268,8.91,440.85,9.3,68.06,66.88,66.9,69.28,66.46,82.53,22.25,53.92,54.5,12474465,7868888,-0.19,0.47,N/A,144.81,N/A,-2.07%,-1.07%,-1.38%,-2.26%,0.79,0.34,N/A,7.36,255.95,10.44,13.47,N/A,N/A,N/A,N/A,35.9%,N/A,N/A,N/A,N/A
8,"Alnylam Pharmaceuticals, Inc.",ALNY,NMS,USD,United States,Healthcare,Biotechnology,https://www.alnylam.com,2230,3.83,97.5,42.09,42.18,0.13,0.125,0.89,-729.63,17.96,322.83,317.33,318.25,323.2,315.14,326.03,205.87,283.48,265.67,2047670,1002119,-2.1,-1.22,N/A,-264.61,N/A,-11.49%,3.04%,-1.79%,N/A,-0.05,0.22,N/A,2.72,2358.26,2.84,3.04,N/A,N/A,N/A,N/A,20.2%,N/A,N/A,N/A,N/A
9,Ally Financial Inc.,ALLY,NYQ,USD,United States,Financial Services,Credit Services,https://www.ally.com,10700,10.35,85.71,11.95,23.78,0.307,0.277,38.77,N/A,3.57,38.91,38.87,38.78,39.32,38.6,45.46,29.52,34.93,35.77,4133130,4350680,0.6,4.15,64.85,9.38,N/A,4.51%,1.32%,0.16%,2.16%,4.2,N/A,N/A,19.91,N/A,N/A,N/A,1.2,308.0,200.0%,1746057600,-5.5%,N/A,N/A,1397088000,310:1
